message_id,timestamp_iso,author_name,author_nickname,week_no,raw_text,attachment_files,attachment_count
1296788274349867028,2024-10-18T12:53:37.766+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],5,"5. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1296788379379433482,2024-10-18T12:54:02.807+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-50fb177ae9b0d59f.png,1
1296788452536483871,2024-10-18T12:54:20.249+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-ef9b7c311b1addff.png,1
1296788527991750717,2024-10-18T12:54:38.239+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-a147679a37d96ae7.png,1
1297127443588583437,2024-10-19T11:21:22.014+02:00,alenokc,AlenOKC,4,"4. trening: 1 na 1 za krila, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-363694c8901f7d19.png;image-20f475c98d75b8eb.png,2
1299327951661305919,2024-10-25T13:05:24.022+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],6,"6. trening: oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1299328029524361260,2024-10-25T13:05:42.586+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-27909bbc11c55c16.png,1
1299328095131664455,2024-10-25T13:05:58.228+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-71f2aabaa858c3ad.png,1
1299328150521778207,2024-10-25T13:06:11.434+02:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-7239769e49d98192.png,1
1300918955636162620,2024-10-29T21:27:28.929+01:00,alenokc,AlenOKC,5,"5. trening: 1 na 1 za krila, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-8d29ec12aed6fc21.png,1
1301977899796004926,2024-11-01T19:35:20.891+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],7,"7. trening: oviranje meta za C, Piršič in Ostrovršek 48 min, Plesavec 47 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1301978003471073341,2024-11-01T19:35:45.609+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-7d9b867926a85ce4.png,1
1301978118889668608,2024-11-01T19:36:13.127+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-410db70314c7a617.png,1
1301978199147675770,2024-11-01T19:36:32.262+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-4c1ea4fef0252045.png,1
1304347576648073277,2024-11-08T08:31:35.879+01:00,alenokc,AlenOKC,6,"6. trening: 1 na 1 za krila, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-c12a4ef5b4280ee1.png;image-5a1b1d16e824c4c3.png,2
1304415522154086401,2024-11-08T13:01:35.35+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],8,"8. trening: skok za C/KC, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1304415603397758976,2024-11-08T13:01:54.72+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-2f726e62766f173c.png,1
1304415679558062080,2024-11-08T13:02:12.878+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-51e6420222c51872.png,1
1304415738722914325,2024-11-08T13:02:26.984+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-05d798781c5341c6.png,1
1306955221557182565,2024-11-15T13:13:26.873+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],9,"9. trening: skok za C/KC, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1306955299504001084,2024-11-15T13:13:45.457+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-19faac00e209ab09.png,1
1306955349516881961,2024-11-15T13:13:57.381+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-90cb906385390081.png,1
1306955422367748166,2024-11-15T13:14:14.75+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-65e8a942cbab2270.png,1
1309489413075501067,2024-11-22T13:03:25.214+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],10,"10. trening: Oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1309489465642848317,2024-11-22T13:03:37.747+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-b03dbb26c7f54b08.png,1
1309489525629915189,2024-11-22T13:03:52.049+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-5bd09702d4f1fd99.png,1
1309489586824544317,2024-11-22T13:04:06.639+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-d681029bb337891d.png,1
1312027256851398757,2024-11-29T13:07:54.321+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],11,"11. trening: Oviranje meta za C, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1312027337683898469,2024-11-29T13:08:13.593+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-a3b7ce40e5d465d6.png,1
1312027422555897876,2024-11-29T13:08:33.828+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-c9a4f2b3ab5113ba.png,1
1312027477345959996,2024-11-29T13:08:46.891+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-bb06dcd41591d9cb.png,1
1312123237437673482,2024-11-29T19:29:17.876+01:00,alenokc,AlenOKC,10,"10. trening: Skok za C/KC, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-38c64729ad3695e1.png,1
1314553828791685290,2024-12-06T12:27:36.013+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],12,"12. trening: Oviranje meta za C, Plesavec 47 min, druga dva 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
1314553909083377705,2024-12-06T12:27:55.156+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-689e98837a539b24.png,1
1314553982403743745,2024-12-06T12:28:12.637+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-2342e4515b65d8d8.png,1
1314554053958701118,2024-12-06T12:28:29.697+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],,,image-8c23f31053af180f.png,1
1314879526203035708,2024-12-07T10:01:48.327+01:00,alenokc,AlenOKC,11,"11. trening: Blokade za C, vsi 48 min, trener: 7. stopnja, mladinski trener: 7. stopnja, fitnes: 3. stopnja, trening igrišče: 3. stopnja.",image-7014c8bebae2d2d0.png,1
1317089816432873472,2024-12-13T12:24:42.583+01:00,pjtr576,pjtr576 [Postojna Blue Jackets],13,"13. trening: Skok za C/KC, vsi 48 min, trener: 5. stopnja, mladinski trener: 6., fitnes: 3. stopnja, trening igrišče: /.",,0
