player,player_id,author,skill,from_level,to_level,delta,week_from,week_to,date_from,date_to,weeks_in_interval,training_keys,training_names,clean_interval,from_baseline_week0,source
Francis Koštomaj,53897393,alenokc,is,6,7,1,5,6,2024-10-29,2024-11-08,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,ft,3,4,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,ha,6,7,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,rb,4,6,2,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,pa,2,3,1,10,11,2024-11-29,2024-12-07,1,29,Shot Blocking,True,False,series
Francis Koštomaj,53897393,alenokc,sb,7,8,1,10,11,2024-11-29,2024-12-07,1,29,Shot Blocking,True,False,series
Francis Koštomaj,53897393,alenokc,id,7,8,1,11,12,2024-12-07,2024-12-15,1,29,Shot Blocking,True,False,series
Francis Koštomaj,53897393,alenokc,jr,6,7,1,12,14,2024-12-15,2024-12-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,rb,6,7,1,12,14,2024-12-15,2024-12-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,sb,8,9,1,12,14,2024-12-15,2024-12-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,dr,6,7,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,ft,4,5,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,id,8,9,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,is,7,8,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,js,3,4,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,sb,9,10,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,is,8,9,1,18,19,2025-01-29,2025-02-06,1,21,Inside Scoring,True,False,series
Francis Koštomaj,53897393,alenokc,ft,5,6,1,19,21,2025-02-06,2025-02-15,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,rb,7,8,1,19,21,2025-02-06,2025-02-15,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,is,9,11,2,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,js,4,5,1,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,ft,6,7,1,25,27,2025-03-14,2025-03-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,is,11,12,1,25,27,2025-03-14,2025-03-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,od,7,8,1,25,27,2025-03-14,2025-03-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,rb,8,9,1,25,27,2025-03-14,2025-03-28,2,;27,;Rebounding,False,False,series
Francis Koštomaj,53897393,alenokc,dr,7,8,1,27,29,2025-03-28,2025-04-11,2,;21,;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,ha,7,8,1,27,29,2025-03-28,2025-04-11,2,;21,;Inside Scoring,False,False,series
Francis Koštomaj,53897393,alenokc,is,12,13,1,29,30,2025-04-11,2025-04-18,1,21,Inside Scoring,True,False,series
Francis Koštomaj,53897393,alenokc,id,9,11,2,30,32,2025-04-18,2025-05-02,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,js,5,6,1,30,32,2025-04-18,2025-05-02,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,sb,10,11,1,30,32,2025-04-18,2025-05-02,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,ft,7,8,1,32,34,2025-05-02,2025-05-19,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,id,11,12,1,32,34,2025-05-02,2025-05-19,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,pa,3,4,1,35,37,2025-05-27,2025-06-10,2,;18,;Passing,False,False,series
Francis Koštomaj,53897393,alenokc,pa,4,5,1,37,38,2025-06-10,2025-06-13,1,18,Passing,True,False,series
Francis Koštomaj,53897393,alenokc,dr,8,9,1,38,39,2025-06-13,2025-06-21,1,18,Passing,True,False,series
Francis Koštomaj,53897393,alenokc,pa,5,6,1,38,39,2025-06-13,2025-06-21,1,18,Passing,True,False,series
Francis Koštomaj,53897393,alenokc,ft,8,9,1,39,40,2025-06-21,2025-06-27,1,18,Passing,True,False,series
Francis Koštomaj,53897393,alenokc,ha,8,9,1,39,40,2025-06-21,2025-06-27,1,18,Passing,True,False,series
Francis Koštomaj,53897393,alenokc,dr,9,10,1,41,42,2025-07-07,2025-07-12,1,16,One on One,True,False,series
Francis Koštomaj,53897393,alenokc,id,12,13,1,42,44,2025-07-12,2025-07-29,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,is,13,14,1,42,44,2025-07-12,2025-07-29,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,id,13,14,1,44,46,2025-07-29,2025-08-08,2,;24,;Inside Defense,False,False,series
Francis Koštomaj,53897393,alenokc,sb,11,12,1,44,46,2025-07-29,2025-08-08,2,;24,;Inside Defense,False,False,series
Gojc Jalovec,53898036,alenokc,dr,4,5,1,0,1,2024-09-27,2024-09-29,1,16,One on One,False,True,series
Gojc Jalovec,53898036,alenokc,ha,6,7,1,0,1,2024-09-27,2024-09-29,1,16,One on One,False,True,series
Gojc Jalovec,53898036,alenokc,dr,5,6,1,1,2,2024-09-29,2024-10-06,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,js,4,5,1,1,2,2024-09-29,2024-10-06,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,ha,7,8,1,2,3,2024-10-06,2024-10-12,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,dr,6,7,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,is,7,8,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,sb,4,5,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,dr,7,8,1,5,6,2024-10-29,2024-11-08,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,ha,8,9,1,5,6,2024-10-29,2024-11-08,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,ft,6,7,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,id,7,8,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,js,5,6,1,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,rb,7,10,3,6,10,2024-11-08,2024-11-29,4,;;;27,;;;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,sb,5,6,1,10,11,2024-11-29,2024-12-07,1,29,Shot Blocking,True,False,series
Gojc Jalovec,53898036,alenokc,ft,7,8,1,11,12,2024-12-07,2024-12-15,1,29,Shot Blocking,True,False,series
Gojc Jalovec,53898036,alenokc,sb,6,7,1,11,12,2024-12-07,2024-12-15,1,29,Shot Blocking,True,False,series
Gojc Jalovec,53898036,alenokc,id,8,9,1,12,14,2024-12-15,2024-12-28,2,;27,;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,rb,10,11,1,12,14,2024-12-15,2024-12-28,2,;27,;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,sb,7,8,1,12,14,2024-12-15,2024-12-28,2,;27,;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,id,9,10,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,is,8,9,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,sb,8,9,1,14,17,2024-12-28,2025-01-23,3,;;21,;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,dr,8,9,1,17,18,2025-01-23,2025-01-29,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,ft,8,9,1,17,18,2025-01-23,2025-01-29,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,is,9,10,1,17,18,2025-01-23,2025-01-29,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,sb,9,10,1,17,18,2025-01-23,2025-01-29,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,is,10,11,1,18,19,2025-01-29,2025-02-06,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,js,6,7,1,18,19,2025-01-29,2025-02-06,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,rb,11,12,1,19,21,2025-02-06,2025-02-15,2,;27,;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,ft,9,10,1,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,is,11,14,3,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,jr,4,5,1,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,js,7,8,1,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,od,4,5,1,21,25,2025-02-15,2025-03-14,4,;;;21,;;;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,id,10,11,1,25,27,2025-03-14,2025-03-28,2,;27,;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,rb,12,13,1,25,27,2025-03-14,2025-03-28,2,;27,;Rebounding,False,False,series
Gojc Jalovec,53898036,alenokc,ft,10,11,1,27,29,2025-03-28,2025-04-11,2,;21,;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,ha,9,10,1,27,29,2025-03-28,2025-04-11,2,;21,;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,is,14,15,1,27,29,2025-03-28,2025-04-11,2,;21,;Inside Scoring,False,False,series
Gojc Jalovec,53898036,alenokc,js,8,9,1,29,30,2025-04-11,2025-04-18,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,pa,7,8,1,29,30,2025-04-11,2025-04-18,1,21,Inside Scoring,True,False,series
Gojc Jalovec,53898036,alenokc,id,11,12,1,30,32,2025-04-18,2025-05-02,2,;24,;Inside Defense,False,False,series
Gojc Jalovec,53898036,alenokc,id,12,13,1,32,34,2025-05-02,2025-05-19,2,;24,;Inside Defense,False,False,series
Gojc Jalovec,53898036,alenokc,dr,9,10,1,34,35,2025-05-19,2025-05-27,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,ft,11,12,1,34,35,2025-05-19,2025-05-27,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,is,15,16,1,34,35,2025-05-19,2025-05-27,1,16,One on One,True,False,series
Gojc Jalovec,53898036,alenokc,ft,12,13,1,40,41,2025-06-27,2025-07-07,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,is,7,8,1,1,2,2024-09-29,2024-10-06,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,dr,2,3,1,2,3,2024-10-06,2024-10-12,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,ha,2,3,1,2,3,2024-10-06,2024-10-12,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,dr,3,4,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,ft,4,5,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,js,3,4,1,3,4,2024-10-12,2024-10-19,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,ha,3,4,1,4,5,2024-10-19,2024-10-29,1,16,One on One,True,False,series
Goran Pokorn,53897731,alenokc,dr,4,5,1,5,6,2024-10-29,2024-11-08,1,16,One on One,True,False,series
Jure Plesavec,53897751,pjtr576,dr,2,3,1,0,1,2024-09-20,2024-09-20,1,16,One on One,False,True,series
Jure Plesavec,53897751,pjtr576,rb,5,6,1,0,1,2024-09-20,2024-09-20,1,16,One on One,False,True,series
Jure Plesavec,53897751,pjtr576,sb,7,8,1,1,2,2024-09-20,2024-09-27,1,29,Shot Blocking,True,False,series
Jure Plesavec,53897751,pjtr576,id,4,5,1,2,3,2024-09-27,2024-10-04,1,29,Shot Blocking,True,False,series
